date,code,open,close,high,low,vol,amount,up_count,down_count,date_stamp,volume
2019-01-23,000300,3136.1,3141.05,3157.63,3131.87,598704.0,62669651968.0,134,151,1548172800.0,598704.0
2019-01-24,000300,3146.6,3158.78,3165.63,3125.3,729346.0,80963878912.0,184,98,1548259200.0,729346.0
2019-01-25,000300,3165.18,3184.47,3203.17,3164.41,839677.0,93207953408.0,157,129,1548345600.0,839677.0
2019-01-28,000300,3203.12,3183.78,3228.87,3174.72,826224.0,97371496448.0,130,153,1548604800.0,826224.0
2019-01-29,000300,3177.26,3193.97,3200.99,3148.23,776583.0,85943910400.0,121,167,1548691200.0,776583.0
2019-01-30,000300,3181.66,3168.48,3202.9,3167.89,637465.0,73005121536.0,74,212,1548777600.0,637465.0
2019-01-31,000300,3182.7,3201.63,3216.07,3178.01,862478.0,97509924864.0,160,131,1548864000.0,862478.0
2019-02-01,000300,3225.73,3247.4,3247.5,3207.72,820196.0,94766415872.0,269,24,1548950400.0,820196.0
2019-02-11,000300,3239.81,3306.47,3307.06,3239.81,988184.0,114752356352.0,273,21,1549814400.0,988184.0
2019-02-12,000300,3306.35,3330.34,3335.36,3298.63,1222324.0,122834100224.0,235,56,1549900800.0,1222324.0
2019-02-13,000300,3337.78,3397.03,3405.58,3329.14,1638283.0,168866267136.0,282,16,1549987200.0,1638283.0
2019-02-14,000300,3392.85,3402.14,3415.4,3381.98,1511273.0,138649288704.0,131,158,1550073600.0,1511273.0
2019-02-15,000300,3391.24,3338.7,3395.03,3335.87,1436686.0,141555056640.0,51,244,1550160000.0,1436686.0
2019-02-18,000300,3366.42,3445.75,3445.75,3366.42,1828861.0,180449738752.0,300,0,1550419200.0,1828861.0
2019-02-19,000300,3454.72,3439.61,3480.79,3419.07,1790837.0,185762742272.0,100,188,1550505600.0,1790837.0
2019-02-20,000300,3449.93,3451.93,3463.77,3421.51,1473903.0,145570267136.0,149,134,1550592000.0,1473903.0
2019-02-21,000300,3450.14,3442.71,3500.25,3431.63,1801432.0,185197150208.0,91,202,1550678400.0,1801432.0
2019-02-22,000300,3439.38,3520.12,3520.12,3417.98,1872379.0,202869293056.0,258,39,1550764800.0,1872379.0
2019-02-25,000300,3575.85,3729.48,3729.48,3574.69,3425571.0,376382390272.0,296,3,1551024000.0,3425571.0
2019-02-26,000300,3734.71,3684.69,3762.11,3679.27,3580387.0,387632857088.0,115,181,1551110400.0,3580387.0
2019-02-27,000300,3682.81,3678.39,3737.63,3638.33,2862360.0,307306135552.0,106,187,1551196800.0,2862360.0
2019-02-28,000300,3675.26,3669.37,3695.46,3650.05,1848102.0,206010957824.0,128,167,1551283200.0,1848102.0
